DATA_TYPE,SPECIES,TEMPLATE,DENSITY,HEMI,SOURCE,DOI,DESCRIPTION
midthickness,human,fsLR,4k,L,Glasser et al. (2011) J Neurosci,10.1523/JNEUROSCI.2180-11.2011,Cortical midthickness surface mesh and medial wall mask (Conte69)
midthickness,human,fsLR,4k,R,Glasser et al. (2011) J Neurosci,10.1523/JNEUROSCI.2180-11.2011,Cortical midthickness surface mesh and medial wall mask (Conte69)
midthickness,human,fsLR,32k,L,Glasser et al. (2011) J Neurosci,10.1523/JNEUROSCI.2180-11.2011,Cortical midthickness surface mesh and medial wall mask (Conte69)
midthickness,human,fsLR,32k,R,Glasser et al. (2011) J Neurosci,10.1523/JNEUROSCI.2180-11.2011,Cortical midthickness surface mesh and medial wall mask (Conte69)
midthickness,macaque,fsLR,32k,L,Donahue et al. (2016) J Neurosci,10.1523/JNEUROSCI.0493-16.2016,Cortical midthickness surface mesh and medial wall mask (Yerkes19)
midthickness,macaque,fsLR,32k,R,Donahue et al. (2016) J Neurosci,10.1523/JNEUROSCI.0493-16.2016,Cortical midthickness surface mesh and medial wall mask (Yerkes19)
midthickness,marmoset,fsLR,32k,L,Hayashi et al. (2021) NeuroImage,10.1016/j.neuroimage.2021.117726,Cortical midthickness surface mesh and medial wall mask (Riken50)
midthickness,marmoset,fsLR,32k,R,Hayashi et al. (2021) NeuroImage,10.1016/j.neuroimage.2021.117726,Cortical midthickness surface mesh and medial wall mask (Riken50)
fcgradient1,human,fsLR,32k,L,Margulies et al. (2016) PNAS,10.1073/pnas.1608282113,First functional connectivity gradient derived from resting-state fMRI
myelinmap,human,fsLR,32k,L,Glasser et al. (2016) Nature,10.1038/nature18933,Myelin map derived from T1w/T2w ratio
ndi,human,fsLR,32k,L,Fukutomi et al. (2018) NeuroImage,10.1016/j.neuroimage.2018.02.017,Neurite density index derived from NODDI
odi,human,fsLR,32k,L,Fukutomi et al. (2018) NeuroImage,10.1016/j.neuroimage.2018.02.017,Orientation dispersion index derived from NODDI
thickness,human,fsLR,32k,L,Glasser et al. (2016) Nature,10.1038/nature18933,Cortical thickness map